area,ward,winner,party,votes
Arikulam,1,Anapoyil Gangadharan,CPI(M),477
Arikulam,2,C K Narayanan,CPI(M),572
Arikulam,3,Suresh D,CPI(M),719
Arikulam,4,P T Devi,CPI(M),668
Arikulam,5,Varappurathu Laila,CPI(M),403
Arikulam,6,S Muralledharan,INC,354
Arikulam,7,Sasi E K,INC,541
Arikulam,8,K M Appu Nair,JD(S),537
Arikulam,9,Madathil Suresh Babu,DIC(K),446
Arikulam,10,C Prabhakaran,CPI(M),404
Arikulam,11,P Geethadevi,CPI(M),497
Arikulam,12,P V Komalavalli,CPI(M),463
Atholi,1,Paloral Kunjikkannan,CPI(M),644
Atholi,2,Bhaskaran Nair,DIC(K),685
Atholi,3,Sasi Moodakkuzhiyil,CPI(M),658
Atholi,4,Sugathakumari M,CPI(M),706
Atholi,5,C D Vimala,CPI(M),471
Atholi,6,N D Bindu,CPI(M),569
Atholi,7,Meledathu Mansoor,CPI(M),639
Atholi,8,A K Rajan,CPI(M),691
Atholi,9,P Viswanadan,JD(S),492
Atholi,10,Kolangara Thezha Ajitha,CPI(M),490
Atholi,11,Vazhakkayil Thazhakuni Narayanan,CPI(M),552
Atholi,12,Asokan,CPI(M),459
Atholi,13,K K Sobha,CPI(M),513
Atholi,14,Eramacham Kandy Achuthan,DIC(K),698
Atholi,15,Shyna Tharamalayil,NCP,635
Atholi,16,N V Mohan,CPI(M),556
Ayancheri,1,V .P. Geetha,INC,592
Ayancheri,2,T.B .Manaph Master,ML,633
Ayancheri,3,K.V.Hajara Teacher,ML,647
Ayancheri,4,Vellilattu Sara,ML,578
Ayancheri,5,C.V.Kunchiraman Master,CPI,569
Ayancheri,6,Kalathill Abdulla Master,INC,556
Ayancheri,7,Dhayanandhan Parakandi,INC,502
Ayancheri,8,Arayakkool Santha,INC,469
Ayancheri,9,Nochadu Kunjabdulla,ML,655
Ayancheri,10,Mampathu Kannan,CPI(M),638
Ayancheri,11,T.V.Kunchiraman Master,NCP,777
Ayancheri,12,Thayil Asya Teacher,ML,473
Ayancheri,13,K.P. Baburaj,CPI(M),605
Ayancheri,14,P.K Sajitha,CPI(M),761
Ayancheri,15,Ayyanadu Padmanabha Kurup,JD(S),622
Ayancheri,16,K.M. Kuchiraman Master,CPI(M),685
Azhiyur,1,C P Ali,ML,541
Azhiyur,2,Punathil Nazar,CPI(M),380
Azhiyur,3,Thottathil Mahija,INC,440
Azhiyur,4,Kunnumadathil Nalini,CPI(M),505
Azhiyur,5,Thottathil Sasidharan,INC,482
Azhiyur,6,P Sreedharan,CPI(M),511
Azhiyur,7,Ayisha Ummer,ML,563
Azhiyur,8,Karodi Praseetha,CPI(M),407
Azhiyur,9,K V Prakasan,CPI(M),707
Azhiyur,10,P P Sreedharan,CPI(M),830
Azhiyur,11,M P Kumaran,JD(S),453
Azhiyur,12,A T Sreedharan,JD(S),480
Azhiyur,13,C H Yamuna Teacher,JD(S),508
Azhiyur,14,Malayekkal Anithakumari,INC,657
Azhiyur,15,Maliyekkal Prasad,BJP,259
Azhiyur,16,Chalinmel Sajeevan,INDEPENDENT,616
Azhiyur,17,P K Salim,ML,355
Balusseri,1,N K Madavan Nair,CPI(M),730
Balusseri,2,Shyamala Puthukundikandy,CPI(M),634
Balusseri,3,Kamala Thaikandy,JD(S),678
Balusseri,4,K Abdul Gafur,CPI(M),675
Balusseri,5,Kinarullathil Chandran,INDEPENDENT,553
Balusseri,6,V B Vijeesh,INC,625
Balusseri,7,Sobhana Kinattinkara,BJP,589
Balusseri,8,Jyothi Illathu Padikkal,NCP,432
Balusseri,9,Mallika Kuttakkil,CPI(M),494
Balusseri,10,Sheeba Edavalathu,CPI(M),535
Balusseri,11,Parackal Balan,DIC(K),644
Balusseri,12,Abdul Basheer N V,INC,523
Balusseri,13,A P Prakasan,INC,448
Balusseri,14,K K Rajan,INDEPENDENT,564
Balusseri,15,Pringini Madavan,NCP,696
Balusseri,16,N P Nadeesh Kumar,CPI(M),710
Beypore,1,Ponnathu Peethambharan,CPI(M),749
Beypore,2,Mullasserry Ramlabee,INL,747
Beypore,3,T.V. Abdul Azeez,CPI(M),984
Beypore,4,K.Kunjamutti,CPI(M),854
Beypore,5,Malayil Mini,CPI(M),934
Beypore,6,P. Radhakrishnan,CPI(M),757
Beypore,7,A.K. Sujatha,CPI,718
Beypore,8,Madhavadas P,INC,681
Beypore,9,K Sylaja,CPI(M),923
Beypore,10,K Venugopal (Unni),INC,548
Beypore,11,Punar Valappil Salim,ML,818
Beypore,12,Thottunkal Rajan,CPI(M),907
Beypore,13,Kallai Prasanna,CPI(M),667
Beypore,14,Rajeev K,CPI(M),465
Beypore,15,P Chandran,CPI(M),641
Beypore,16,K Anilkumar,CPI(M),927
Beypore,17,N Sobhana,CPI(M),1116
Beypore,18,Cherothu Prakasan,CPI(M),378
Beypore,19,Kalathumarathu Ramesan,INC,266
Beypore,20,Arikkanattu Radhakrishnan,INC,540
Beypore,21,P V Suhara,CPI(M),914
Beypore,22,Thekkethodi Manohari,CPI(M),779
Chakittapara,1,Pradeepan,CPI(M),454
Chakittapara,2,K M Josukutty Kanjirakkattu Thottiyil,INC,804
Chakittapara,3,Valsamma,INC,439
Chakittapara,4,P V Narayani,INC,418
Chakittapara,5,James Mathew,INC,494
Chakittapara,6,Sunil,CPI(M),625
Chakittapara,7,Manjusha Thevarkkattil,CPI(M),473
Chakittapara,8,Surajan,CPI(M),432
Chakittapara,9,Prakash,INC,663
Chakittapara,10,P R Prasannan,INC,537
Chakittapara,11,Manackal Sujatha,CPI(M),589
Chakittapara,12,Joy Kanakkanjery,DIC(K),598
Chakittapara,13,Varghese Cheriyan Mukkallil,INC,625
Chakittapara,14,Puthalathu Santha,CPI(M),601
Changaroth,1,Aneri Nazeer,ML,617
Changaroth,2,Kattan Kottummal Asokan,DIC(K),585
Changaroth,3,Mandayullathil Balan,INC,668
Changaroth,4,Kuttikkunnummal Bharathi,CPI,610
Changaroth,5,Vellachal Rani George,INC,461
Changaroth,6,P C Kunjikkannan,CPI(M),509
Changaroth,7,Thiruvamangalathu Abdul Azeez,ML,550
Changaroth,8,Karuvan Tharemmal Moideen,ML,522
Changaroth,9,Eramthottathil Sareesh,INC,333
Changaroth,10,Mery Kuryakkose Konotharakkunnu,INC,643
Changaroth,11,Pullakkunnathu Ibrayi,ML,540
Changaroth,12,S P Kunjummad Srabhi Parambhil,ML,568
Changaroth,13,Souda Pilacheri,ML,529
Changaroth,14,K V Kunjikannan Puliyath,CPI(M),491
Changaroth,15,Malupoyil Moli,CPI(M),543
Changaroth,16,N P Vijayan Naduvilidam Parambhu,INC,610
Changaroth,17,K Sadanandan Kappummal,INC,444
Changaroth,18,Sailaja Puthukkodu,INC,580
Chathamangalam,1,Koovakandi Rahiya,ML,548
Chathamangalam,2,Puthukuziyil Sunitha,CPI(M),687
Chathamangalam,3,T P Homsa Parammal,INDEPENDENT,586
Chathamangalam,4,Kandiyil Subidha,ML,495
Chathamangalam,5,Anila Pettuthadayil,ML,348
Chathamangalam,6,Gangadharan Punnattupurathu,CPI(M),646
Chathamangalam,7,Vattakandiyil Sukumaran,CPI(M),757
Chathamangalam,8,Ad  P Chathukutty,NCP,428
Chathamangalam,9,Valasala E P,INDEPENDENT,571
Chathamangalam,10,N M Hussain,ML,681
Chathamangalam,11,M V Saleemath,ML,599
Chathamangalam,12,Usha Puthakunnathu,CPI(M),504
Chathamangalam,13,K E Rajagopalan,CPI(M),671
Chathamangalam,14,Athiyakuzyil Raveendran,INC,598
Chathamangalam,15,Sahadevan Mekkedameethal,CPI(M),840
Chathamangalam,16,Shyfu P Cheriyachappangal,CPI(M),692
Chathamangalam,17,Unnikrishnan M k,INC,510
Chathamangalam,18,Haridasan kallathukuzhi,JD(S),548
Chathamangalam,19,Raveendran Pulparambil,JD(S),632
Chathamangalam,20,Shobhana Sindooram,INDEPENDENT,393
Chathamangalam,21,yoogesh Babu,INDEPENDENT,689
Chathamangalam,22,Kizhakkayil Rukiya,ML,508
Chekkiad,1,M K Sabira,ML,542
Chekkiad,2,K Chandrika Teacher,INC,521
Chekkiad,3,Parayidukkil Kumaran,CPI(M),580
Chekkiad,4,Eranjatti Asokan,CPI(M),549
Chekkiad,5,Rajeev Puthussery,DIC(K),556
Chekkiad,6,Mundoli Tharuvy,DIC(K),526
Chekkiad,7,Abdulla Kundunkara,ML,592
Chekkiad,8,A P Subaida yoosaf,ML,473
Chekkiad,9,Abdulla Vayaloli,ML,507
Chekkiad,10,Poyil Hareendran,ML,534
Chekkiad,11,Abdulla Karindrankode,ML,572
Chekkiad,12,B P Moosa,ML,667
Chekkiad,13,Kottarath Naseema,ML,634
Chekkiad,14,P K Sabira,ML,634
Chelannur,1,Cherupoyil Vanaja,CPI(M),502
Chelannur,2,Sabitha,DIC(K),539
Chelannur,3,C P Rajajn Chevam Punathil,DIC(K),445
Chelannur,4,K P Muhammed Koaya,JD(S),310
Chelannur,5,Kalangandu Reena,NCP,566
Chelannur,6,Vasu Mullasseri,JD(S),493
Chelannur,7,Gouri Puthiyottu,INC,466
Chelannur,8,Raghunathadan mandasseri,DIC(K),567
Chelannur,9,Hassan Odiyam Valli,CPI(M),758
Chelannur,10,Kollarukandiyil Suresh Babu,CPI(M),564
Chelannur,11,K.T.Sathyan,DIC(K),845
Chelannur,12,Melekoyambrathu Rajendran,CPI(M),677
Chelannur,13,Korambachu kuzhiyil Anoopkumar,INC,486
Chelannur,14,Kunniyadanparambathu Kamala,CPI(M),611
Chelannur,15,Pradeena anakkamparambathu,DIC(K),707
Chelannur,16,Nadukandimeethal Gopalan,CPI(M),612
Chelannur,17,Nettadiyil Premaleela,CPI(M),553
Chelannur,18,Sanila E T,DIC(K),712
Chelannur,19,T K Somanathan,CPI(M),620
Chelannur,20,Pulari velayudhan,CPI(M),900
Chemanachery,1,Sathi Kizhakkayil,CPI(M),707
Chemanachery,2,Melathuru Rajan,JD(S),516
Chemanachery,3,E Anilkumar,CPI(M),774
Chemanachery,4,Valappil Mohanan,JD(S),557
Chemanachery,5,A M Muthoran,CPI(M),675
Chemanachery,6,Raghavan Nair Perumkuni,CPI(M),609
Chemanachery,7,R P Valsala,CPI(M),554
Chemanachery,8,Babu Kullur,JD(S),564
Chemanachery,9,Panakattu Sulochana,CPI(M),655
Chemanachery,10,P C Sathhesh Chandran,CPI(M),791
Chemanachery,11,K T Velayudhan,CPI(M),703
Chemanachery,12,Suhara Mehabub,ML,520
Chemanachery,13,Reena Thekkeponnnodi,CPI(M),526
Chemanachery,14,Vanitha,CPI(M),547
Chemanachery,15,V Gopalan Master,CPI(M),636
Chemanachery,16,K K Kesavan,CPI(M),520
Chemanachery,17,Suhara Muhammadali,ML,663
Chemanachery,18,P P Sreeja Kiliyadathu poyil,INDEPENDENT,545
Chemanachery,19,Peruvayal kuni Gopalan,INC,473
Chengottukavu,1,Mavulli Purathoot Sudha,INC,354
Chengottukavu,2,V M Gangadharan,CPI(M),556
Chengottukavu,3,Biji M V,CPI(M),492
Chengottukavu,4,Satheesan Kooniyil,BJP,517
Chengottukavu,5,Pushpavalli K,INDEPENDENT,516
Chengottukavu,6,Vayalakuni Soumini,INC,487
Chengottukavu,7,Balakrishnan P,CPI(M),752
Chengottukavu,8,Pokkeri Krishnan,DIC(K),493
Chengottukavu,9,Kuttikrishnan T,CPI(M),593
Chengottukavu,10,Kanma Sreedharan,CPI(M),511
Chengottukavu,11,V V Abdul Rasheed,ML,471
Chengottukavu,12,K Geethanandhan,CPI(M),328
Chengottukavu,13,Kanakkasseri Sahadevan,DIC(K),620
Chengottukavu,14,Hameed Press Valappil,ML,480
Chengottukavu,15,Naduvilangandi Sarojini,DIC(K),439
Chengottukavu,16,Sainaba Moonnukudikkal,ML,508
Cheruvannur,1,K K Vanaja,CPI(M),623
Cheruvannur,2,Koyilothu Nafeeza,CPI(M),485
Cheruvannur,3,Koyilothu Gangadharan,CPI,594
Cheruvannur,4,K K Balakrishnan,JD(S),592
Cheruvannur,5,D Kunjikrishnan (Anjali),CPI(M),611
Cheruvannur,6,C D Prabhakarakkurup,INC,561
Cheruvannur,7,K C Sumalini,NCP,543
Cheruvannur,8,R Sasi,CPI,619
Cheruvannur,9,Manilal M M,JD(S),359
Cheruvannur,10,K V Sujatha,DIC(K),495
Cheruvannur,11,Ramadevi Nagathuthazhe,JD(S),438
Cheruvannur,12,N Narayanan Master,CPI(M),544
Cheruvannur,13,A K M Rajan,CPI(M),530
Cheruvannur,14,C M Babu,CPI(M),594
Cheruvannur Nallalom,1,Abdhu Rahiman Pulingacheri,CPI(M),369
Cheruvannur Nallalom,2,Rajula Sainudeen,CPI(M),849
Cheruvannur Nallalom,3,K M Rafeek,CPI(M),1104
Cheruvannur Nallalom,4,V P Alikkoyya,ML,740
Cheruvannur Nallalom,5,M Kunjamutti,ML,897
Cheruvannur Nallalom,6,Kathalattu Prakasan,CPI(M),725
Cheruvannur Nallalom,7,Khadeeja Pokker,ML,660
Cheruvannur Nallalom,8,Musalam Veettil Asma,ML,663
Cheruvannur Nallalom,9,P C Rajan,CPI(M),1443
Cheruvannur Nallalom,10,Kuniyil Muhammed,CPI(M),1043
Cheruvannur Nallalom,11,Nikkam Parampathu Retnakaran,DIC(K),636
Cheruvannur Nallalom,12,Sisily Teacher,NCP,550
Cheruvannur Nallalom,13,Shali,DIC(K),368
Cheruvannur Nallalom,14,Lalitha Teacher,INDEPENDENT,599
Cheruvannur Nallalom,15,Ayanikkadu Unnikrishnan,INC,642
Cheruvannur Nallalom,16,Sivadasan D,INC,525
Cheruvannur Nallalom,17,Chirthrampattu Baburajan,CPI(M),633
Cheruvannur Nallalom,18,Kollampalathu Sathyabhama,NCP,684
Cheruvannur Nallalom,19,E Jayachandran,CPI(M),738
Cheruvannur Nallalom,20,Maimoona Teacher,ML,510
Cheruvannur Nallalom,21,K P Abdul Hasim,CPI(M),865
Cheruvannur Nallalom,22,U Pokker,ML,450
Chorode,1,Chandran Alamkandi,CPI(M),662
Chorode,2,P Kunjappa Master,CPI(M),579
Chorode,3,K Rakhavan,CPI(M),776
Chorode,4,Radha Nadukkandiyil,CPI(M),782
Chorode,5,Sreedharan E,JD(S),741
Chorode,6,T M Rajan,CPI(M),614
Chorode,7,P T Thankamani,JD(S),471
Chorode,8,K M Chandri,CPI(M),744
Chorode,9,Rajesh Thazhekoomulli,INC,557
Chorode,10,R K Vanaja,JD(S),566
Chorode,11,P K Narayanan,CPI(M),611
Chorode,12,Premakumari K S Pullanjoli,CPI(M),794
Chorode,13,C Subhash Chandran,CPI(M),515
Chorode,14,V K Govindan,CPI(M),666
Chorode,15,Shyma P K,CPI(M),639
Chorode,16,Kaithayil Prakasan,JD(S),880
Chorode,17,P V Ismail,INL,557
Chorode,18,T V Balan Master,CPI(M),601
Chorode,19,Girija K P,CPI(M),577
Chorode,20,V C Jameela,ML,597
Edacheri,1,Kunjikkannan Kuniyathil,CPI(M),698
Edacheri,2,Kunjiraman P K,CPI(M),774
Edacheri,3,Gopalan K P,JD(S),549
Edacheri,4,Narayanan K,JD(S),568
Edacheri,5,Sreedharan P P,CPI(M),611
Edacheri,6,Madhavi Panolikkuniyil,CPI(M),872
Edacheri,7,Leela K C,CPI,575
Edacheri,8,Leela Meethale Thoovantevida,CPI(M),581
Edacheri,9,Chathu M P,CPI(M),567
Edacheri,10,Rakhavan K,CPI(M),573
Edacheri,11,Cheeru Kunnummal,CPI(M),622
Edacheri,12,Kunjikkannan V,CPI(M),815
Edacheri,13,Balakrishnan V,CPI(M),891
Edacheri,14,Rasheed Master V,CPI,493
Edacheri,15,Geetha T K,CPI(M),636
Edacheri,16,Vasantha E,CPI(M),962
Elathur,1,Usha Reghu,INC,578
Elathur,2,Babu Kattayil,CPI(M),666
Elathur,3,Hassensha Pumakothu,CPI,431
Elathur,4,Sreelesh O K,CPI(M),734
Elathur,5,Leela Arathinni,CPI(M),561
Elathur,6,Babu Keepoiyil,INC,556
Elathur,7,AjithKumar V,CPI(M),634
Elathur,8,Babu G Kulathumpurathu,DIC(K),707
Elathur,9,Sivadasan Kodamana,JD(S),530
Elathur,10,Prakasan,CPI(M),430
Elathur,11,Sathar Paikattu,INC,552
Elathur,12,Udayakumari K,NCP,624
Elathur,13,Manoj,CPI(M),729
Elathur,14,Mohanan C,INDEPENDENT,521
Elathur,15,Subhadra Teacher,INC,530
Elathur,16,Vasanthi K P,CPI(M),657
Elathur,17,Arundhathi Madhavan C P,BJP,912
Elathur,18,Ashalatha Janardhanan,BJP,910
Elathur,19,Mohandas V K,CPI(M),871
Elathur,20,Ratheesh K,CPI(M),797
Elathur,21,Pushpavathi Koyamakandi,CPI(M),604
Elathur,22,Abdul Karim,ML,538
Eramala,1,Raghavan Master M K,CPI(M),848
Eramala,2,Janu K,CPI(M),898
Eramala,3,Balan Appoyil,CPI(M),863
Eramala,4,Manoj Kumar K K,JD(S),667
Eramala,5,Santhosh kumar V K,JD(S),674
Eramala,6,Sankaran T T,CPI(M),737
Eramala,7,Kumaran Y M,JD(S),571
Eramala,8,Saseendhran Master T N K,JD(S),572
Eramala,9,Bhaskaran M K,JD(S),644
Eramala,10,Usmail Kunjippurayil,DIC(K),609
Eramala,11,Venu N,CPI(M),738
Eramala,12,Geetha Kurungottu,CPI,624
Eramala,13,Baby Balambrath,INC,606
Eramala,14,Balakrishnan Master N,CPI(M),795
Eramala,15,Ramani V O K,JD(S),528
Eramala,16,Lakshmi Kottarath,CPI(M),639
Eramala,17,Sugathakumari K U,CPI(M),665
Eramala,18,Radha P V P,CPI(M),845
Feroke,1,K M Haneefa,ML,765
Feroke,2,Surendran Valiyattil,CPI,689
Feroke,3,Prakash Karuthodathu,NCP,1067
Feroke,4,Abdul Rasak N C,ML,668
Feroke,5,K D Rajani,DIC(K),519
Feroke,6,Jaseena Pandikasala,ML,516
Feroke,7,Azeef,ML,655
Feroke,8,Rasiya Mamokoya,INC,591
Feroke,9,Abdul Azeez,ML,611
Feroke,10,M M Musthafa,JD(S),511
Feroke,11,Kuriyedathu Haridasan,DIC(K),652
Feroke,12,K Gangadharan Enna Sundaran,INDEPENDENT,657
Feroke,13,N P Unnikrishnan,CPI(M),916
Feroke,14,Kodakkadu Ayisha Beevi,ML,693
Feroke,15,Sakeena P P,ML,497
Feroke,16,Sythalavi B,ML,732
Feroke,17,E Babudasan,CPI(M),691
Feroke,18,C V Sarada,CPI(M),954
Feroke,19,Prabhakaran,BJP,646
Feroke,20,K D soudabi,CPI(M),570
Feroke,21,Abdul Jaleel M C,ML,603
Feroke,22,M M Jameela,ML,649
Kadalundi,1,Mayinttakathu Yahiya,CPI(M),679
Kadalundi,2,Thazhathu Veettil Suhara,ML,554
Kadalundi,3,M V Jameela,ML,524
Kadalundi,4,Aripidavil Sidardhan,INDEPENDENT,585
Kadalundi,5,Pachattu Balraj,CPI(M),574
Kadalundi,6,Thirummalammal Smitha,INC,485
Kadalundi,7,Olumpan Kunjanjan,DIC(K),535
Kadalundi,8,Mandakathinkal Purushothaman,CPI(M),592
Kadalundi,9,Pilakkattu Shanmukan,CPI,584
Kadalundi,10,Thacharodi Kuttan,CPI(M),681
Kadalundi,11,Kollachattil  Gopalakrishnan,CPI(M),542
Kadalundi,12,Onnatthra Bhaktha Valsalan,CPI(M),648
Kadalundi,13,Venmani Haridas,CPI(M),676
Kadalundi,14,Cheriyam Parampil Ramadasan,JD(S),543
Kadalundi,15,Kozhippuram Katheeja,CPI(M),389
Kadalundi,16,Onnathara Visvanathan,CPI(M),689
Kadalundi,17,M Moosakkoya (Vice),ML,506
Kadalundi,18,Kuppekkadu Suhara,ML,347
Kadalundi,19,Kakattayil Jyothi Lekshmi,CPI(M),633
Kadalundi,20,Naramchirakkal Azeez (Bappas),ML,504
Kadalundi,21,Vairam Valappil Bichimol,ML,598
Kakkodi,1,Sajithkumar,CPI(M),721
Kakkodi,2,Meyanamannil Prasad,CPI(M),691
Kakkodi,3,Vadakkekara Ramadhasan,CPI(M),661
Kakkodi,4,M Vasumaster,NCP,534
Kakkodi,5,T K Venugopalan,CPI(M),728
Kakkodi,6,Nelleri Balan,CPI(M),661
Kakkodi,7,Kayayttayil Pushapa,CPI(M),799
Kakkodi,8,P M Dharmarajan,CPI(M),873
Kakkodi,9,P M Biju,CPI(M),717
Kakkodi,10,Medayil Nalini,CPI(M),547
Kakkodi,11,Sheeba,CPI(M),816
Kakkodi,12,Prabhavathi Poyilil,DIC(K),512
Kakkodi,13,Mohanan Kaithamoli,DIC(K),532
Kakkodi,14,K Ramakrishnan,CPI(M),602
Kakkodi,15,M Rajendran,CPI(M),711
Kakkodi,16,M A Siraj,CPI(M),786
Kakkodi,17,Latha kanjiroli,CPI(M),
Kakkodi,18,P V Sujatha,CPI(M),811
Kakkodi,19,Aaramkandathil Beena,CPI(M),589
Kakkodi,20,Rajan Valappil,DIC(K),340
Kakkur,1,Girija K A,INDEPENDENT,569
Kakkur,2,Bushra K,INDEPENDENT,509
Kakkur,3,Kannannur Kizhakkathil Krishnankutty,CPI(M),554
Kakkur,4,Muhammed Abbas Panakkil,INDEPENDENT,441
Kakkur,5,Maramveettil Abdul Rahiman,CPI(M),841
Kakkur,6,Sheeba Vadakkiyilathu,INDEPENDENT,615
Kakkur,7,Chandrababu P,JD(S),465
Kakkur,8,Mangattukuzhiyil Santhosh,CPI(M),536
Kakkur,9,C K Vijaya,JD(S),591
Kakkur,10,Chettiamkandi Sivasankaran Nair,CPI(M),597
Kakkur,11,K C Balakrishnan Koduvangachalil,INDEPENDENT,480
Kakkur,12,Bindhu V,JD(S),414
Kakkur,13,Cheruvalathu Biju,CPI(M),564
Kakkur,14,Pookunnummel Kalyanikutty,CPI(M),632
Karasseri,1,Mukkam Muhammed,NCP,543
Karasseri,2,V K Vinod,CPI(M),523
Karasseri,3,C M Pralkashan,CPI(M),571
Karasseri,4,Hamsa Kannattil,CPI(M),614
Karasseri,5,Alex Naduvath,KC(M),421
Karasseri,6,P K Sharadha,CPI,475
Karasseri,7,Mini Kannangara,INDEPENDENT,504
Karasseri,8,Mony Devaraj,CPI(M),601
Karasseri,9,K P Devaki,CPI(M),487
Karasseri,10,Sathyan Mundayil,INC,596
Karasseri,11,Asharaf M T,INC,520
Karasseri,12,Rasheef Enna Soudi Unni,JSS,427
Karasseri,13,Edathil AbdulRahman,CPI(M),560
Karasseri,14,P K Muhammed Master,JD(S),406
Karasseri,15,Puthiyottil Subidha,ML,305
Karasseri,16,Anvar Nedumkunnathu,INC,350
Karasseri,17,Prasannakumari,CPI(M),690
Kattippara,1,K M Balakrishnan,CPI(M),528
Kattippara,2,Beena,INDEPENDENT,273
Kattippara,3,Sali Emmanuval,CPI(M),400
Kattippara,4,E K Agastiyan,INC,372
Kattippara,5,Punnoose,INC,323
Kattippara,6,Sathyan,INDEPENDENT,377
Kattippara,7,Baby Raveendran,CPI(M),475
Kattippara,8,Madariya Jubairiya,CPI(M),383
Kattippara,9,K R Rajan,CPI(M),656
Kattippara,10,Kunji Muhammed,INDEPENDENT,407
Kattippara,11,Abdul karim,INDEPENDENT,346
Kattippara,12,P C Saithuty Haji,ML,364
Kattippara,13,,INDEPENDENT,373
Kattippara,14,Sheebasadanandan,NCP,294
Kavilumpara,1,Shaji Poovattikkal,CPI(M),637
Kavilumpara,2,Vijayan,CPI(M),552
Kavilumpara,3,Sisily,CPI(M),548
Kavilumpara,4,Babu Mathew,DIC(K),389
Kavilumpara,5,Bobi,KC(M),646
Kavilumpara,6,Pushpa,CPI,523
Kavilumpara,7,Joli George,INDEPENDENT,386
Kavilumpara,8,Vasu,INC,403
Kavilumpara,9,Rameshan,CPI(M),584
Kavilumpara,10,P Prabhakaran,CPI(M),669
Kavilumpara,11,Moitheen Kunju,CPI(M),570
Kavilumpara,12,Radha,CPI(M),762
Kavilumpara,13,Vijayalakshmi,DIC(K),622
Kavilumpara,14,K P Ammad,ML,629
Kavilumpara,15,Chandrika,CPI(M),661
Kayakkodi,1,T T Nanu,CPI(M),779
Kayakkodi,2,Reetha K K,JD(S),524
Kayakkodi,3,M K Sasi,CPI(M),924
Kayakkodi,4,K P Balan Master,CPI(M),575
Kayakkodi,5,P Ramla Teacher,ML,470
Kayakkodi,6,P V Moithu,ML,465
Kayakkodi,7,V P Kunjabdulla Master,ML,577
Kayakkodi,8,E Mohanakrishnan,DIC(K),489
Kayakkodi,9,Rashdi N K,ML,401
Kayakkodi,10,P C Ravindran,INC,523
Kayakkodi,11,U V Bindhu,DIC(K),389
Kayakkodi,12,Usha Ponnamkandi,CPI(M),461
Kayakkodi,13,V K Sathyan,INDEPENDENT,541
Kayakkodi,14,Rajeevan Vattaparambath,CPI(M),1083
Kayakkodi,15,P P Nanu,CPI(M),1180
Kayanna,1,M Rishikesan,INC,344
Kayanna,2,K K Narayanan,KC(M),448
Kayanna,3,Thumbhamala Padinjare Chalil Shibhu,INDEPENDENT,379
Kayanna,4,M Ajith Kumar,CPI(M),506
Kayanna,5,George Vettikkattu,CPI(M),430
Kayanna,6,Vadakke Thadathil Balan,INC,499
Kayanna,7,K P Sheebha,CPI(M),421
Kayanna,8,R K Sarada,CPI(M),395
Kayanna,9,O M Kunjikanaran,CPI(M),463
Kayanna,10,V K Padmini,CPI(M),413
Kayanna,11,A C Sathi,CPI(M),454
Kayanna,12,A C Yusuf,CPI(M),375
Keezhariyur,1,Kanaran p k,CPI(M),619
Keezhariyur,2,Kumaran Master Niranjana,CPI(M),726
Keezhariyur,3,Rasak Kulangara Meethal,ML,411
Keezhariyur,4,Chekkotti Eyyalolan Peedika Poyil,CPI(M),494
Keezhariyur,5,Sandhya nivasKunjiraman,CPI(M),519
Keezhariyur,6,T K Narayanan,INC,388
Keezhariyur,7,Santha Nelliyullathil,CPI(M),256
Keezhariyur,8,Dasan Kinattorakkandi,INC,450
Keezhariyur,9,K Sumathy Kuniyingal,INDEPENDENT,371
Keezhariyur,10,Girija,DIC(K),433
Keezhariyur,11,Moli Karukandathil,INC,350
Keezhariyur,12,Ambili Raghavan,INDEPENDENT,434
Kizhakkoth,1,Aashik Rahman K M,CPI(M),442
Kizhakkoth,2,Aamina Teacher K K,DIC(K),507
Kizhakkoth,3,Padmini P T,CPI(M),442
Kizhakkoth,4,Hameed Master Puzhimannil,ML,589
Kizhakkoth,5,Abdunnaser P D,ML,536
Kizhakkoth,6,Rasakh Master M A,ML,435
Kizhakkoth,7,Abdul Razakh Moozhical,INDEPENDENT,477
Kizhakkoth,8,Manoje  V M,CPI(M),524
Kizhakkoth,9,Ruhiya Variambrathu,INDEPENDENT,592
Kizhakkoth,10,Naseema Jamaludeen,INDEPENDENT,570
Kizhakkoth,11,Abdhu Rahiman,DIC(K),585
Kizhakkoth,12,Ramla Kayoonnichalil,ML,374
Kizhakkoth,13,Seenath Aaluppurayil,CPI(M),610
Kizhakkoth,14,Abdul  Khader Kutteyngel,ML,502
Kizhakkoth,15,Abdul Salam O K,ML,456
Kizhakkoth,16,Aasya M S,INDEPENDENT,447
Kizhakkoth,17,Abdul Majeed Master T V,INDEPENDENT,619
Kodencheri,1,Grazy Vincent,NCP,481
Kodencheri,2,K V Joseph kunnumpurathu,INC,470
Kodencheri,3,Kuriyan Geroge,CPI(M),538
Kodencheri,4,Joseph pulikudiyil,INDEPENDENT,530
Kodencheri,5,Ithamma James,INDEPENDENT,452
Kodencheri,6,Meryjoseph,INC,369
Kodencheri,7,Thomas Sachria,INC,505
Kodencheri,8,M C kuriyan,KC(M),445
Kodencheri,9,Benny Mathew,INC,344
Kodencheri,10,Puthiyadath Shibu,CPI(M),519
Kodencheri,11,Mercy Thankachan,KC(M),493
Kodencheri,12,Anne Johny,INC,546
Kodencheri,13,Tisi Raju Ambalakandi,INDEPENDENT,463
